"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"1301","極洋","東P","4190","-20.0(-0.48%)","4,190.0","50,608"
"1332","ニッスイ","東P","855.8","+1.0(+0.12%)","855.8","267,378"
"1333","マルハニチロ","東P","3120.0","+22.0(+0.71%)","3,120.0","157,806"
"1375","雪国まいたけ","東P","1208","-27.0(-2.19%)","1,208.0","48,212"
"1377","サカタのタネ","東P","3485","+20.0(+0.58%)","3,485.0","161,741"
"1379","ホクト","東P","1941","+11.0(+0.57%)","1,941.0","64,750"
"1414","ショーボンドＨＬＤＧ","東P","4905.0","+60.0(+1.24%)","4,905.0","268,525"
"1417","ミライト・ワン","東P","2304.5","-39.5(-1.69%)","2,304.5","217,373"
"1419","タマホーム","東P","3355","-30.0(-0.89%)","3,355.0","98,824"
"1429","日本アクア","東P","710","-1.0(-0.14%)","710.0","24,680"
"1433","ベステラ","東P","979","-2.0(-0.20%)","979.0","8,801"
"1515","日鉄鉱業","東P","5900","+0.0(+0.00%)","5,900.0","98,557"
"1518","三井松島ＨＬＤＧ","東P","4370","-190.0(-4.17%)","4,370.0","57,091"
"1605","ＩＮＰＥＸ","東P","1878.5","+2.5(+0.13%)","1,878.5","2,365,287"
"1662","石油資源開発","東P","1122","-7.0(-0.62%)","1,122.0","288,354"
"1663","Ｋ＆Ｏエナジーグループ","東P","3290","-80.0(-2.37%)","3,290.0","93,226"
"167A","リョーサン菱洋ＨＬＤＧ","東P","2607","+2.0(+0.08%)","2,607.0","140,778"
"1719","安藤・間","東P","1335","-4.0(-0.30%)","1,335.0","241,663"
"1720","東急建設","東P","794","+2.0(+0.25%)","794.0","84,768"
"1721","コムシスＨＬＤＧ","東P","3284.0","-14.0(-0.42%)","3,284.0","436,772"
"1726","ビーアールＨＬＤＧ","東P","345","-1.0(-0.29%)","345.0","15,799"
"1762","高松コンストラクショングループ","東P","2785","-30.0(-1.07%)","2,785.0","96,970"
"1766","東建コーポレーション","東P","12590","+120.0(+0.96%)","12,590.0","169,612"
"1773","ワイ・ティー・エル","東P","71","-1.0(-1.39%)","71.0","788,539"
"1780","ヤマウラ","東P","1305","+0.0(+0.00%)","1,305.0","27,540"
"1786","オリエンタル白石","東P","381","-7.0(-1.80%)","381.0","52,886"
"1801","大成建設","東P","7086.0","+297.0(+4.37%)","7,086.0","1,297,918"
"1802","大林組","東P","2074.5","+28.5(+1.39%)","2,074.5","1,496,772"
"1803","清水建設","東P","1473.5","-0.5(-0.03%)","1,473.5","1,056,042"
"1808","長谷工コーポレーション","東P","2032.0","-12.0(-0.59%)","2,032.0","611,214"
"1812","鹿島建設","東P","3140.0","+75.0(+2.45%)","3,140.0","1,659,980"
"1813","不動テトラ","東P","2197","+15.0(+0.69%)","2,197.0","36,227"
"1814","大末建設","東P","1755","-4.0(-0.23%)","1,755.0","18,628"
"1815","鉄建建設","東P","2586","-21.0(-0.81%)","2,586.0","40,520"
"1820","西松建設","東P","4968.0","+11.0(+0.22%)","4,968.0","207,620"
"1821","三井住友建設","東P","421","-5.0(-1.17%)","421.0","68,485"
"1833","奥村組","東P","4365","-40.0(-0.91%)","4,365.0","168,774"
"1835","東鉄工業","東P","3120","-15.0(-0.48%)","3,120.0","112,632"
"1852","淺沼組","東P","681","-1.0(-0.15%)","681.0","55,015"
"1860","戸田建設","東P","963.4","+15.3(+1.61%)","963.4","310,848"
"1861","熊谷組","東P","3985","+20.0(+0.50%)","3,985.0","172,493"
"1870","矢作建設工業","東P","1304","-17.0(-1.29%)","1,304.0","58,168"
"1871","ピーエス・コンストラクション","東P","1529","-43.0(-2.74%)","1,529.0","72,606"
"1873","日本ハウスＨＬＤＧ","東P","325","+0.0(+0.00%)","325.0","13,000"
"1878","大東建託","東P","15745.0","+200.0(+1.29%)","15,745.0","1,085,129"
"1879","新日本建設","東P","1461","-10.0(-0.68%)","1,461.0","89,648"
"1882","東亜道路工業","東P","1493","-14.0(-0.93%)","1,493.0","75,239"
"1884","日本道路","東P","1920","-11.0(-0.57%)","1,920.0","84,377"
"1885","東亜建設工業","東P","1390","-2.0(-0.14%)","1,390.0","122,290"
"1887","日本国土開発","東P","491","+1.0(+0.20%)","491.0","43,824"
"1888","若築建設","東P","3605","+25.0(+0.70%)","3,605.0","46,739"
"1890","東洋建設","東P","1341","-4.0(-0.30%)","1,341.0","126,552"
"1893","五洋建設","東P","673.8","-20.2(-2.91%)","673.8","192,716"
"1898","世紀東急工業","東P","1550","-4.0(-0.26%)","1,550.0","58,008"
"1899","福田組","東P","5200","-150.0(-2.80%)","5,200.0","46,738"
"1911","住友林業","東P","4565.0","-154.0(-3.26%)","4,565.0","940,698"
"1925","大和ハウス工業","東P","4958.0","-50.0(-1.00%)","4,958.0","3,269,696"
"1926","ライト工業","東P","2615","+0.0(+0.00%)","2,615.0","126,528"
"1928","積水ハウス","東P","3449.0","-7.0(-0.20%)","3,449.0","2,286,676"
"1929","日特建設","東P","1066","+19.0(+1.81%)","1,066.0","44,510"
"1930","北陸電気工事","東P","1222","+7.0(+0.58%)","1,222.0","36,616"
"1934","ユアテック","東P","1657","-34.0(-2.01%)","1,657.0","114,650"
"1938","日本リーテック","東P","1504","-1.0(-0.07%)","1,504.0","38,529"
"1939","四電工","東P","1358","-31.0(-2.23%)","1,358.0","66,225"
"1941","中電工","東P","3270","-45.0(-1.36%)","3,270.0","190,112"
"1942","関電工","東P","2637.0","-29.0(-1.09%)","2,637.0","541,345"
"1944","きんでん","東P","3251.0","+16.0(+0.49%)","3,251.0","658,786"
"1945","東京エネシス","東P","1090","-26.0(-2.33%)","1,090.0","38,121"
"1946","トーエネック","東P","1034","-1.0(-0.10%)","1,034.0","99,936"
"1949","住友電設","東P","4815","-75.0(-1.53%)","4,815.0","171,587"
"1950","日本電設工業","東P","2167","-17.0(-0.78%)","2,167.0","133,351"
"1951","エクシオグループ","東P","1755.5","-12.5(-0.71%)","1,755.5","366,241"
